"","id","date","tavg"
"1","RSM00034927",2003-01-01,3.9
"2","RSM00034927",2003-01-02,-3.2
"3","RSM00034927",2003-01-03,1.4
"4","RSM00034927",2003-01-04,6.6
"5","RSM00034927",2003-01-05,6
"6","RSM00034927",2003-01-06,6.4
"7","RSM00034927",2003-01-07,0.7
"8","RSM00034927",2003-01-08,4.3
"9","RSM00034927",2003-01-09,0.4
"10","RSM00034927",2003-01-10,-1.9
"11","RSM00034927",2003-01-11,6
"12","RSM00034927",2003-01-12,-1.3
"13","RSM00034927",2003-01-13,-4.7
"14","RSM00034927",2003-01-14,-6.4
"15","RSM00034927",2003-01-15,0.3
"16","RSM00034927",2003-01-16,2.7
"17","RSM00034927",2003-01-17,6.2
"18","RSM00034927",2003-01-18,1.9
"19","RSM00034927",2003-01-19,0.5
"20","RSM00034927",2003-01-20,0
"21","RSM00034927",2003-01-21,0.1
"22","RSM00034927",2003-01-22,2.7
"23","RSM00034927",2003-01-23,2.3
"24","RSM00034927",2003-01-24,1.2
"25","RSM00034927",2003-01-25,1
"26","RSM00034927",2003-01-26,1.2
"27","RSM00034927",2003-01-27,1.2
"28","RSM00034927",2003-01-28,0.6
"29","RSM00034927",2003-01-29,3.5
"30","RSM00034927",2003-01-30,8.6
"31","RSM00034927",2003-01-31,10.6
"32","RSM00034927",2003-02-01,8.4
"33","RSM00034927",2003-02-02,0.8
"34","RSM00034927",2003-02-03,1.6
"35","RSM00034927",2003-02-04,-1.3
"36","RSM00034927",2003-02-05,1.7
"37","RSM00034927",2003-02-06,4.6
"38","RSM00034927",2003-02-07,7.3
"39","RSM00034927",2003-02-08,4.8
"40","RSM00034927",2003-02-09,1
"41","RSM00034927",2003-02-10,-3.2
"42","RSM00034927",2003-02-11,-3
"43","RSM00034927",2003-02-12,-1.6
"44","RSM00034927",2003-02-13,-4.8
"45","RSM00034927",2003-02-14,-6.4
"46","RSM00034927",2003-02-15,-4.6
"47","RSM00034927",2003-02-16,-2.6
"48","RSM00034927",2003-02-17,-8.4
"49","RSM00034927",2003-02-18,-6.4
"50","RSM00034927",2003-02-19,-4.7
"51","RSM00034927",2003-02-20,-4.4
"52","RSM00034927",2003-02-21,-2.5
"53","RSM00034927",2003-02-22,-3.1
"54","RSM00034927",2003-02-23,-4
"55","RSM00034927",2003-02-24,-3.1
"56","RSM00034927",2003-02-25,-1.6
"57","RSM00034927",2003-02-26,-1.2
"58","RSM00034927",2003-02-27,-2.5
"59","RSM00034927",2003-02-28,-2.9
"60","RSM00034927",2003-03-01,-0.1
"61","RSM00034927",2003-03-02,2.1
"62","RSM00034927",2003-03-03,2.1
"63","RSM00034927",2003-03-04,4.8
"64","RSM00034927",2003-03-05,6.2
"65","RSM00034927",2003-03-06,4.6
"66","RSM00034927",2003-03-07,4.1
"67","RSM00034927",2003-03-08,4.7
"68","RSM00034927",2003-03-09,4.2
"69","RSM00034927",2003-03-10,1.5
"70","RSM00034927",2003-03-11,3
"71","RSM00034927",2003-03-12,4
"72","RSM00034927",2003-03-13,5.8
"73","RSM00034927",2003-03-14,5.6
"74","RSM00034927",2003-03-15,2.9
"75","RSM00034927",2003-03-16,1
"76","RSM00034927",2003-03-17,1.8
"77","RSM00034927",2003-03-18,2.7
"78","RSM00034927",2003-03-19,3.8
"79","RSM00034927",2003-03-20,3.3
"80","RSM00034927",2003-03-21,1.5
"81","RSM00034927",2003-03-22,-2.2
"82","RSM00034927",2003-03-23,-1.1
"83","RSM00034927",2003-03-24,1.6
"84","RSM00034927",2003-03-25,2.8
"85","RSM00034927",2003-03-26,3.9
"86","RSM00034927",2003-03-27,3
"87","RSM00034927",2003-03-28,0.8
"88","RSM00034927",2003-03-29,2
"89","RSM00034927",2003-03-30,4.8
"90","RSM00034927",2003-03-31,7.8
"91","RSM00034927",2003-04-01,11
"92","RSM00034927",2003-04-02,3.8
"93","RSM00034927",2003-04-03,4.3
"94","RSM00034927",2003-04-04,9
"95","RSM00034927",2003-04-05,8.9
"96","RSM00034927",2003-04-06,9.8
"97","RSM00034927",2003-04-07,8
"98","RSM00034927",2003-04-08,12.7
"99","RSM00034927",2003-04-09,6.1
"100","RSM00034927",2003-04-10,6.1
"101","RSM00034927",2003-04-11,8.6
"102","RSM00034927",2003-04-12,10.4
"103","RSM00034927",2003-04-13,11.7
"104","RSM00034927",2003-04-14,15.4
"105","RSM00034927",2003-04-15,11.8
"106","RSM00034927",2003-04-16,10.6
"107","RSM00034927",2003-04-17,9.8
"108","RSM00034927",2003-04-18,9.5
"109","RSM00034927",2003-04-19,9
"110","RSM00034927",2003-04-20,8.7
"111","RSM00034927",2003-04-21,7.5
"112","RSM00034927",2003-04-22,8.6
"113","RSM00034927",2003-04-23,10.9
"114","RSM00034927",2003-04-24,12.2
"115","RSM00034927",2003-04-25,12.1
"116","RSM00034927",2003-04-26,11.7
"117","RSM00034927",2003-04-27,7.4
"118","RSM00034927",2003-04-28,8.9
"119","RSM00034927",2003-04-29,12.4
"120","RSM00034927",2003-04-30,15.2
"121","RSM00034927",2003-05-01,15.5
"122","RSM00034927",2003-05-02,16.6
"123","RSM00034927",2003-05-03,18.5
"124","RSM00034927",2003-05-04,20.1
"125","RSM00034927",2003-05-05,18.1
"126","RSM00034927",2003-05-06,13.5
"127","RSM00034927",2003-05-07,14.6
"128","RSM00034927",2003-05-08,16.4
"129","RSM00034927",2003-05-09,16.1
"130","RSM00034927",2003-05-10,17.3
"131","RSM00034927",2003-05-11,20.1
"132","RSM00034927",2003-05-12,22.4
"133","RSM00034927",2003-05-13,23
"134","RSM00034927",2003-05-14,23.6
"135","RSM00034927",2003-05-15,24
"136","RSM00034927",2003-05-16,22.8
"137","RSM00034927",2003-05-17,20.8
"138","RSM00034927",2003-05-18,18.4
"139","RSM00034927",2003-05-19,19.8
"140","RSM00034927",2003-05-20,19.6
"141","RSM00034927",2003-05-21,21.4
"142","RSM00034927",2003-05-22,24.5
"143","RSM00034927",2003-05-23,24.9
"144","RSM00034927",2003-05-24,24.4
"145","RSM00034927",2003-05-25,25
"146","RSM00034927",2003-05-26,24.2
"147","RSM00034927",2003-05-27,24.2
"148","RSM00034927",2003-05-28,23.2
"149","RSM00034927",2003-05-29,22.8
"150","RSM00034927",2003-05-30,22
"151","RSM00034927",2003-05-31,19.1
"152","RSM00034927",2003-06-01,18.2
"153","RSM00034927",2003-06-02,20.4
"154","RSM00034927",2003-06-03,20.4
"155","RSM00034927",2003-06-04,17
"156","RSM00034927",2003-06-05,15.2
"157","RSM00034927",2003-06-06,17.6
"158","RSM00034927",2003-06-07,19
"159","RSM00034927",2003-06-08,21.3
"160","RSM00034927",2003-06-09,22.7
"161","RSM00034927",2003-06-10,24
"162","RSM00034927",2003-06-11,24
"163","RSM00034927",2003-06-12,24.9
"164","RSM00034927",2003-06-13,22.9
"165","RSM00034927",2003-06-14,22.7
"166","RSM00034927",2003-06-15,23.2
"167","RSM00034927",2003-06-16,21.3
"168","RSM00034927",2003-06-17,21.4
"169","RSM00034927",2003-06-18,19.2
